Modul,TipFunctionalitate,Bucket,GeneralValabile,Caz,Placeholders,StepHints,Automat,Local,Test,Prod,Impact,Efort,Importanta
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Stergere, Activare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Incarcare, Export, Descarcare, Paginatie",,0,"Accesarea functionalitatii prin apasare <element> [nume_element](comportament_element_activ, comportament_element_dezactivat), {prezenta, pozitionare, stil_forma, stil_border, stil_culoare, text-valoare, text-font-size, text-font-family, text-traducere, text-culoare, dimensiune, container-tip_link, container-tip_buton, container-tip_badge, container-stil_border, container-stil_culoare, container-comportament}","<element> | [nume_element] | {prezenta, pozitionare, stil_forma, stil_border, stil_culoare, text-valoare, text-font-size, text-font-family, text-traducere, text-culoare, dimensiune, container-tip_link, container-tip_buton, container-tip_badge, container-stil_border, container-stil_culoare, container-comportament}","Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin apăsarea succesivă pe un element specific [nume_element]. Sistemul trebuie să gestioneze corect situația în care utilizatorul apasă de mai multe ori pe element, prevenind comportamente neașteptate sau erori și oferind feedback adecvat utilizatorului. Testul va include verificarea reacției sistemului la apăsarea repetată a elementului, timpul de răspuns și corectitudinea funcționalității accesate.

Exemplu: Utilizatorul apasă rapid și repetat pe butonul [nume_element] pentru a trimite un formular. Aplicația procesează o singură dată acțiunea de trimitere și ignoră apăsările succesive suplimentare, afișând un mesaj de confirmare ""Formular trimis"". De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind apasarea succesivă.",0,1,1,1,,,1
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Stergere, Activare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Incarcare, Export, Descarcare, Paginatie",,0,Accesarea functionalitatii prin apasarea succesiva pe <element> [nume_element] {comportament},<element> | [nume_element] | {comportament},"Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin folosirea unei combinații de taste. Sistemul trebuie să detecteze corect combinația de taste și să activeze funcționalitatea asociată, oferind feedback adecvat utilizatorului. Testul va include verificarea reacției sistemului la utilizarea combinației de taste, timpul de răspuns și corectitudinea funcționalității accesate.

Exemplu: Utilizatorul apasă combinația de taste ""Ctrl + S"" și aplicația reacționează prompt, salvând datele din formular fără a afișa mesaje de eroare. De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind combinatiile de taste (scurtaturi) corecte.",0,1,1,1,,,2
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Stergere, Activare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Incarcare, Export, Descarcare",,0,Accesarea functionalitatii prin folosirea unei combinatii de taste {comportament},{comportament},"Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin alegerea unei opțiuni dintr-un element de tip select. Sistemul trebuie să răspundă corect și prompt la interacțiunea utilizatorului cu acest element, asigurându-se că funcționalitatea solicitată este activată și că utilizatorul primește feedback adecvat. Testul va include verificarea reacției sistemului la selecția opțiunii, timpul de răspuns și corectitudinea funcționalității accesate.

Exemplu: Utilizatorul alege opțiunea ""Opțiunea 2"" dintr-un element de tip select. Aplicația reacționează prompt, afișând informațiile corespunzătoare pentru ""Opțiunea 2"" și actualizând vizualizarea paginii conform așteptărilor.",0,1,1,1,,,3
Accesare,"Adaugare, Modificare, Activare, Filtrare, Cautare, Ordonare",,0,Accesarea functionalitatii prin alegerea unei optiuni din select {comportament},{comportament},"Comportament_formular_cu _modificari: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin apăsarea unui element specific [nume_element], atunci când există date modificate în formular. Sistemul trebuie să gestioneze corect situația în care utilizatorul încearcă să părăsească pagina sau să acceseze o altă funcționalitate fără a salva modificările, oferind feedback adecvat și opțiuni pentru a preveni pierderea datelor. Testul va include verificarea reacției sistemului la apăsarea elementului, timpul de răspuns și corectitudinea gestionării datelor nesalvate.
Exemplu: Utilizatorul modifică câmpuri în formular și încearcă să acceseze funcționalitatea prin apăsarea butonului [nume_element]. Aplicația afișează un mesaj de confirmare ""Aveți modificări nesalvate. Doriți să continuați fără a salva?"" și permite utilizatorului să decidă dacă să salveze sau să continue fără salvare. De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind afișarea corectă.

Comportament_formular_fara _modificari: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin apăsarea unui element specific [nume_element], atunci când nu există date modificate în formular. Sistemul trebuie să răspundă corect și prompt la interacțiunea utilizatorului, permițând accesarea funcționalității solicitate fără a oferi avertizări inutile. Testul va include verificarea reacției sistemului la apăsarea elementului, timpul de răspuns și confirmarea că nu sunt afișate mesaje inutile despre salvarea datelor.
Exemplu: Utilizatorul încearcă să acceseze funcționalitatea prin apăsarea butonului [nume_element] atunci când înregistrarea nu există. Aplicația afișează un mesaj de eroare ""Înregistrarea nu a fost găsită. Vă rugăm să verificați și să încercați din nou."" De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind afișarea corectă.

Hint: In cazul in care se regasesc si alte fipuri de continut se va inlocui formular cu alt tip",0,1,1,1,,,1
Accesare,"Adaugare, Modificare, Resetare, Navigare, Stergere",,0,"Accesarea functionalitatii prin apasare <element> [nume_element] {comportament_formular_cu _modificari, comportament_formular_fara_modificari}","<element> | [nume_element] | {comportament_formular_cu _modificari, comportament_formular_fara_modificari}","Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin apăsarea unui element specific [nume_element], atunci când înregistrarea nu există. Sistemul trebuie să gestioneze corect această situație, oferind feedback adecvat utilizatorului și prevenind erori sau comportamente neașteptate. Testul va include verificarea reacției sistemului la apăsarea elementului, timpul de răspuns și corectitudinea mesajelor afișate.
Exemplu: Utilizatorul încearcă să acceseze funcționalitatea prin apăsarea butonului [nume_element] atunci când înregistrarea nu există. Aplicația afișează un mesaj de eroare ""Înregistrarea nu a fost găsită. Vă rugăm să verificați și să încercați din nou."" De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind afișarea corectă.",0,1,1,1,,,3
Accesare,"Afisare, Adaugare, Modificare, Stergere, Activare, Filtrare, Cautare, Ordonare",,0,"Accesarea functionalitatii prin apasare <element> [nume_element], atunci cand inregistarera nu exista {comportament}",<element> | [nume_element] | {comportament},"Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități atunci când nu există înregistrări disponibile. Sistemul trebuie să gestioneze corect această situație, oferind utilizatorului feedback adecvat și, dacă este necesar, opțiuni alternative. Testul va include verificarea reacției sistemului la absența înregistrărilor, mesajele afișate utilizatorului și corectitudinea gestionării situației.

Exemplu: Utilizatorul accesează pagina de vizualizare, dar nu există nicio înregistrare. Aplicația afișează un mesaj ""Nu există înregistrări disponibile"" și oferă opțiuni pentru a adăuga noi înregistrări. De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind afișarea corectă.",0,1,1,1,,,2
Accesare,"Vizualizare, Adaugare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Export, Paginatie",,0,Accesarea functionalitatii atunci cand nu exista inregistrari {comportament},{comportament},"Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin completarea unui element specific [nume_element]. Sistemul trebuie să răspundă corect și prompt la introducerea de date în acest element, activând funcționalitatea asociată și oferind feedback adecvat utilizatorului. Testul va include verificarea reacției sistemului la completarea elementului, timpul de răspuns și corectitudinea funcționalității accesate.

Exemplu: Utilizatorul completează câmpul [nume_element] cu datele necesare și aplicația reacționează prompt, afișând informațiile sau funcționalitatea corespunzătoare.",0,1,1,1,,,2
Accesare,"Adaugare, Modificare, Filtrare, Cautare, Ordonare",,0,Accesarea functionalitatii prin completare <element> [nume_element] {comportament},<element> | [nume_element] | {comportament},"Comportament: Evaluarea comportamentului sistemului la accesarea unei funcționalități prin introducerea directă a URL-ului în bara de adrese a browserului. Sistemul trebuie să gestioneze corect această metodă de accesare, asigurându-se că pagina solicitată se încarcă corect și că toate elementele și funcționalitățile sunt disponibile. Testul va include verificarea răspunsului sistemului la URL-ul introdus, timpul de încărcare și corectitudinea afișării și funcționării elementelor de pe pagină.

Exemplu: Utilizatorul introduce direct URL-ul ""https://www.exemplu.com/pagina"" în bara de adrese și aplicația încarcă corect pagina solicitată, afișând toate elementele și funcționalitățile acesteia. Utilizatorul va verifica, de asemenea, deschiderea linkului într-un alt browser, unde aplicația va solicita logarea în aplicație și apoi va redirecționa automat către linkul corect adăugat.",0,1,1,1,,,1
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Filtrare, Cautare, Ordonare, Export, Descarcare, Paginatie",,0,Accesarea functionalitatii prin introducerea directa a URL-ului in bara de adrese {comportament},{comportament},"Comportament: Evaluarea comportamentului sistemului la navigarea către pagina sursă atunci când accesul la pagină s-a făcut prin introducerea directă a URL-ului în bara de adrese a browserului. Sistemul trebuie să gestioneze corect navigarea înapoi, oferind utilizatorului feedback adecvat și asigurând o experiență coerentă. Testul va include verificarea funcționalității butonului de navigare înapoi și comportamentul paginii sursă.

Exemplu: Utilizatorul introduce URL-ul ""https://www.exemplu.com/detalii"" în bara de adrese și apoi apasă butonul ""Înapoi"" din browser. Aplicația navighează corect către pagina sursă sau afișează un mesaj de eroare dacă nu există o pagină sursă în istoricul browserului. De asemenea, verificați dacă funcționalitatea respectă cerințele descrise în user story privind afișarea corectă.",0,1,1,1,,,1
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Stergere, Activare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Incarcare, Export, Descarcare, Paginatie",,1,Accesarea functionalitatii atunci cand nu exista conexiune la internet {comportament},{comportament},"Comportament: Evaluarea comportamentului sistemului la încercarea de accesare a unei funcționalități atunci când nu există conexiune la internet. Sistemul trebuie să gestioneze corect această situație, oferind utilizatorului feedback adecvat și prevenind erori. Testul va include verificarea reacției sistemului la absența conexiunii la internet, mesajele afișate utilizatorului și corectitudinea gestionării situației.

Exemplu: Utilizatorul încearcă să acceseze funcționalitatea în timp ce conexiunea la internet este întreruptă. Aplicația afișează un mesaj de eroare ""Nu există conexiune la internet. Verificați conexiunea și încercați din nou"" și nu permite accesarea funcționalității până la restabilirea conexiunii. Acest caz de testare se poate testa doar pe mediile de testare Test și Producție. Pe mediul de testare Local nu se poate aplica deoarece localul se poate accesa fără conexiune la internet.",0,0,1,1,,,2
Accesare,"Afisare, Vizualizare, Adaugare, Modificare, Stergere, Activare, Resetare, Navigare, Filtrare, Cautare, Ordonare, Import, Incarcare, Export, Descarcare, Paginatie",,1,Accesarea functionalitatii atunci cand conexiunea cu server-ul este slaba {comportament},{comportament},"Comportament:
Evaluarea comportamentului sistemului la accesarea unei funcționalități atunci când conexiunea cu serverul este slabă. Sistemul trebuie să gestioneze corect această situație, asigurându-se că funcționalitatea rămâne accesibilă și că utilizatorul primește feedback adecvat în cazul întârzierilor sau problemelor de conectivitate. Testul va include verificarea timpului de răspuns, stabilitatea funcționalității și gestionarea erorilor.

Exemplu:
Utilizatorul încearcă să acceseze o funcționalitate de căutare într-o aplicație web, dar conexiunea cu serverul este slabă. Sistemul ar trebui să:
Detectarea conexiunii slabe: Monitorizeze starea conexiunii și detecteze când aceasta este slabă sau instabilă.
Feedback pentru utilizator: Afișeze un mesaj de informare, cum ar fi ""Conexiune instabilă. Vă rugăm să așteptați..."" pentru a informa utilizatorul despre posibilitatea întârzierilor.
Gestionarea întârzierilor: Asigure că funcționalitatea de căutare încearcă să recupereze datele în ciuda conexiunii slabe și să ofere rezultatele cât mai rapid posibil.
Retry mecanism: Implementeze mecanisme de retry în caz de eșec al cererii inițiale datorită conexiunii slabe.
Gestionarea erorilor: Oferă mesaje de eroare utile în cazul în care cererea eșuează complet, cum ar fi ""Conexiunea la server a eșuat. Vă rugăm să încercați din nou mai târziu.""

Dacă sistemul gestionează corect accesarea funcționalității atunci când conexiunea cu serverul este slabă, oferind feedback adecvat și menținând funcționalitatea accesibilă, testul va fi considerat reușit. Se va asigura că aplicația funcționează conform așteptărilor, oferind utilizatorului o experiență coerentă și funcțională chiar și în condiții de conectivitate instabilă.",0,1,1,1,,,3
